dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,170.216122,-292.269385,1596.000000,24.000000,0.000000,0.000000,1.565463
1.000000,170.337920,-268.270170,1620.000000,24.000000,0.000000,0.000000,1.565974
1.000000,170.447834,-244.270313,1644.000000,24.000000,0.000000,0.000000,1.566454
1.000000,170.546578,-220.269603,1668.000000,24.000000,0.000000,0.000000,1.566906
1.000000,170.634789,-196.269498,1692.000000,24.000000,0.000000,0.000000,1.567332
1.000000,170.713052,-172.271416,1716.000000,24.000000,0.000000,0.000000,1.567735
1.000000,170.781918,-148.269655,1740.000000,24.000000,0.000000,0.000000,1.568116
1.000000,170.841856,-124.271636,1764.000000,24.000000,0.000000,0.000000,1.568478
1.000000,170.893334,-100.269452,1788.000000,24.000000,0.000000,0.000000,1.568822
1.000000,170.936748,-76.271033,1812.000000,24.000000,0.000000,0.000000,1.569150
1.000000,170.972489,-52.271884,1836.000000,24.000000,0.000000,0.000000,1.569462
1.000000,171.000910,-28.271804,1860.000000,24.000000,0.000000,0.000000,1.569760
1.000000,171.022335,-4.271561,1884.000000,24.000000,0.000000,0.000000,1.570045
1.000000,171.037069,19.728455,1908.000000,24.000000,0.000000,0.000000,1.570318
1.000000,171.044805,41.180631,1929.451776,18.903551,-5.096449,-5.096449,1.570552
1.000000,171.047266,56.083535,1944.355327,10.903551,-8.000000,-2.903551,1.570710
1.000000,171.047617,62.987672,1951.258878,2.903551,-8.000000,0.000000,1.570781
1.000000,171.047628,64.441673,1952.710654,0.000000,-2.903551,5.096449,1.570796
1.000000,171.047628,64.441673,1952.710654,0.000000,0.000000,2.903551,1.570796
