dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,182.893310,-100.293141,1782.371242,24.006368,0.003931,0.007931,1.568822
1.000000,182.936732,-76.290792,1806.373630,24.002388,-0.003980,-0.007910,1.569150
1.000000,182.972479,-52.287896,1830.376553,24.002922,0.000534,0.004514,1.569462
1.000000,183.000904,-28.284239,1854.380227,24.003674,0.000752,0.000218,1.569760
1.000000,183.022332,-4.280577,1878.383899,24.003672,-0.000002,-0.000754,1.570045
1.000000,183.037067,19.722713,1902.387193,24.003295,-0.000377,-0.000375,1.570318
1.000000,183.044805,41.177699,1923.842181,21.454987,-2.548307,-2.547930,1.570552
1.000000,183.047266,56.082495,1938.746977,14.904796,-6.550191,-4.001883,1.570710
1.000000,183.047617,62.987492,1945.651974,6.904997,-7.999799,-1.449608,1.570781
1.000000,183.047628,64.441673,1947.106155,1.454181,-5.450816,2.548983,1.570796
1.000000,183.047628,64.441673,1947.106155,0.000000,-1.454181,3.996635,1.570796
